Line,Speaker,Text,Date,Party,Location,URL
"49","Sanders","here is where we are with public educ A 100 150 year ago incred brave american said you know what work class kid low incom kid should not have to work in factori or on the farm like rich kid they deserv to get a free educ and that free educ of extraordinari accomplish wa from first grade to 12th grade the world ha chang thi is 2016 In mani way a colleg degre today is equival to what a high school degre wa 50 60 year ago So ye I do believ that when we talk about public educ in america today in a rapidli chang world we should have free tuition at public colleg and univers that should be a right of all american regardless of the incom of their famili","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"52","Clinton","well first judi I have spent my entir adult life work toward make sure that women are empow to make their own choic even if that choic is not to vote for me I believ that it s most import that we unleash the full potenti of women and girl in our societi and I feel veri strongli that I have an agenda I have a record that realli doe respond to a lot of the specif need that the women in our countri face So I m go to keep make that case I m go to keep make sure that everyth I ve done everyth that I stand for is go to be well known but I have no argument with anyon make up her mind about who to support I just hope that by the end of thi campaign there will be a lot more support me that s what I m work toward","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"55","Clinton","well look I think that she s been say that for as long as I ve known her which is about 25 year but it doesn t chang my view that we need to empow everyon women and men to make the best decis in their mind that they can make that s what I ve alway stood for and when it come to the issu that are realli on the front line as to whether we re go to have equal pay paid famili leav some opportun for you know women to go as far as their hard work and talent take them I think that we still have some barrier to knock down which is whi that s at the core of my campaign I would note just for a histor asid somebodi told me earlier today we ve had like 200 presidenti primari debat and thi is the first time there have been a major of women on the stage So you know we ll take our progress wherev we can find it","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"59","Sanders","look we are fight for everi vote that we can get from women from men straight gay african-american latino asian-american We are tri to bring america togeth around an agenda that work for work famili and the middl class I am veri proud if my memori is not correct -- I think I am -- that I have a lifetim -- and I ve been in congress a few year -- a lifetim 100 percent pro-choic vote record I am veri proud that over the year we have had the support in my state of vermont from veri signific major of women I m veri proud that I support legisl that is current in the congress got support of almost all progress democrat in the hous and senat which say we will end the absurd of women today make 79 cent on the dollar compar to men and we will join the rest of the other -- the industri world in say that paid famili and medic leav should be a right of all work famili","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"62","Sanders","well you know I think from a histor point of view somebodi with my background somebodi with my view somebodi who ha spent hi entir life take on the big money interest I think a sander victori would be of some histor accomplish as well","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"64","Clinton","you know I have said -- I have said mani time you know I m not ask peopl to support me becaus I m a woman I m ask peopl to support me becaus I think I m the most qualifi experienc and readi person to be the presid and the commander-in-chief","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"66","Clinton","and I appreci greatli senat sander vote record and I wa veri proud to get the endors of the plan parenthood action fund becaus I ve been a leader on these issu I have gone time and time again to take on the vest interest who would keep women s health care decis the provinc of the govern instead of women ourselv I m veri proud that naral endors me becaus when it come to it we need a leader on women s issu somebodi who ye vote right but much more than that lead the effort to protect the hard-fought gain that women have made that make no mistak about it are under tremend attack not just by the republican presidenti candid but by a whole nation effort to tri to set back women s right So I m ask women I m ask men to support me becaus I m readi to go into the white hous on januari 20th 2017 and get to work on both domest and foreign polici challeng","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"69","Sanders","let me concur with the secretari no question women s right are under fierc attack all over thi countri and I will tell you someth that realli gall me I will not shock anybodi to suggest that in polit there is occasion a littl bit of hypocrisi just a littl bit all over thi countri we have republican candid for presid say we hate the govern govern is the enemi We re go to cut social secur to help you We re go to cut medicar and medicaid feder aid to educ to help you becaus the govern is so terribl but by the way when it come to a woman have to make a veri person choic ah in that case my republican colleagu love the govern and want the govern to make that choic for everi woman in america If that s not hypocrisi I don t know what hypocrisi is","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"72","Sanders","thi is one of the great tragedi in our countri today and we can no longer continu to sweep it under the rug It ha to be dealt with today a male african-american babi born today stand a one-in-four chanc of end up in jail that is beyond unspeak So what we have to do is the radic reform of a broken crimin justic system","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"74","Sanders","what we have to do is end over-pol in african-american neighborhood the realiti is that both the african-american commun and the white commun do marijuana at about equal rate the realiti is four time as mani black get arrest for marijuana truth is that far more black get stop for traffic violat the truth is that sentenc for black is higher than for white We need fundament polic reform clearli clearli when we talk about a crimin justic system I would hope that we could all agre that we are sick and tire of see video on televis of unarm peopl often african-american shot by polic offic what we have got to do is make it clear that ani polic offic who break the law will in fact be held account","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"76","Clinton","you know I complet agre with senat sander the first speech I gave in thi campaign back in april wa about crimin justic reform and end the era of mass incarcer the statist from wisconsin are particularli troubl becaus it is the highest rate of incarcer for african-american in our nation twice the nation averag and we know of the tragic terribl event that lead to the death of dontr hamilton right here in milwauke a young man unarm who should still be with us hi famili certainli believ that and so do I So we have work to do there have been some good recommend about what need to happen presid obama s polic commiss came out with some I have fulli endors those but we have to restor polic that will actual protect the commun that polic offic are sworn to protect and then we have to go after sentenc and that s one of the problem here in wisconsin becaus so much of what happen in the crimin justic system doesn t happen at the feder level it happen at the state and local level but I would also add thi there are other racial discrep realli system racism in thi state as in other educ in employ in the kind of factor that too often lead from a posit where young peopl particularli young men are push out of school earli are deni employ opportun So when we talk about crimin justic reform and end the era of mass incarcer we also have to talk about job educ hous and other way of help commun","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"78","Sanders","noth that secretari clinton said do I disagre with thi mandatori sentenc a veri bad idea It take away discret from judg We have got to demilitar local polic depart so they do not look like occupi armi","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"80","Sanders","We have got to make sure that local polic depart look like the commun they serv in their divers and where we are fail abysm is in the veri high rate of recidiv we see peopl are be releas from jail without the educ without the job train without the resourc that they need to get their live togeth then they end up -- we re shock that they end up back in jail again So we have a lot of work to do but here is a pledg I ve made throughout thi campaign and it s realli not a veri radic pledg when we have more peopl in jail disproportion african american and latino than china doe a communist authoritarian societi four time our size here s my promis at the end of my first term as presid we will not have more peopl in jail than ani other countri We will invest in educ and job for our kid not incarcer and more jail","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"83","Clinton","well I m just not sure I agre complet with that assess I think under presid obama we have seen a lot of advanc the afford care act ha help more african american than ani other group to get insur to be taken care of but we also know a lot more than we did We have a lot more social media we have everybodi with a cellphon So we are see the dark side of the remain system racism that we have to root out in our societi I think presid obama ha set a great exampl I think he ha address a lot of these issu that have been quit difficult but he ha gone forward now what we have to do is to build on an honest convers about where we go next We now have much more inform about what must be done to fix our crimin justic system We now have some good model about how better to provid employ hous and educ I think what presid obama did wa to exemplifi the import of thi issu as our first african american presid and to address it both from the presid s offic and through hi advocaci such as work with young men and mr obama s work with young women but we can t rest We have work to do and we now know a lot more than we ever did befor So it s go to be my respons to make sure we move forward to solv these problem that are now out in the open nobodi can deni them To use the justic depart as we just saw they have said they are go to sue ferguson that enter into a consent agreement and then tri to back out So we re go to enforc the law we re go to chang polic practic we re go to chang incarcer practic but we re also go to emphas educ job and","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"87","Sanders","well I think judi what ha to be appreci is that as a result of the disastr and illeg behavior on wall street million of live were hurt peopl lost their job their home their life save turn out that the african-american commun and the latino commun were hit especi hard As I understand it the african-american commun lost half of their wealth as a result of the wall street collaps So when you have childhood african-american poverti rate of 35 percent when you have youth unemploy at 51 percent when you have unbeliev rate of incarcer -- which by the way leav the children back home without a dad or even a mother -- clearli we are look at institut racism We are look at an economi in which the rich get richer and the poor get poorer and sadli in america today in our economi a whole lot of those poor peopl are african-american","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"89","Sanders","absolut becaus what we will do is say instead of give tax break to billionair we are go to creat million of job for low-incom kid so they re not hang out on street corner We re go to make sure that those kid stay in school or are abl to get a colleg educ and I think when you give low-incom kid -- african-american white latino kid -- the opportun to get their live togeth they are not go to end up in jail they re go to end up in the product economi which is where we want them","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"92","Sanders","white peopl","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"96","Clinton","look I am deepli concern about what s happen in everi commun in america and that includ white commun where we are see an increas in alcohol addict earlier death peopl with a high school educ or less are not even live as long as their parent live thi is a remark and horrifi fact and that s whi I ve come forward with for exampl a plan to revit coal countri the coalfield commun that have been so hard hit by the chang economi by the reduct in the use of coal you know coal miner and their famili who help turn on the light and power our factori for gener are now wonder ha our countri forgotten us Do peopl not care about all of our sacrific and I m go to do everyth I can to address distress commun whether they are commun of color whether they are white commun whether they are in ani part of our countri I particularli appreci the propos that congressman jim clyburn ha -- the 10-20-30 propos -- to tri to spend more feder dollar in commun with persist gener poverti and you know what If you look at the number there are actual as mani if not more white commun that are truli be left behind and left out So ye I do think it would be a terribl oversight not to tri to address the veri real problem that white american -- particularli those without a lot of educ whose job have -- you know no longer provid them or even no longer present in their commun becaus we have to focu where the real hurt is and that s whi as presid I will look at commun that need special help and tri to deliv that","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"99","Sanders","yeah you can becaus african-american and latino not onli face the gener econom crise of low wage and high unemploy and poor educ opportun but they face other problem as well So ye we can talk about it as a racial issu but it is a gener econom issu and here s what the econom issu is the wage that high school graduat receiv today are significantli less whether you are white or black than they use to be whi is that becaus of a seri of disastr trade polici which have allow corpor america through nafta and perman normal trade relat with china secretari clinton and I disagre on those issu but view is those trade polici have enabl corpor america to shut down in thi countri throw million of peopl out on the street now no one think that work in the factori is the greatest job in the world but you know what you can make a middl class wage you have decent health care decent benefit you onc had a pension those job in mani case are now gone they re off to china now you are a worker white worker black worker who had a decent job that manufactur job is gone what have you got now you are work at mcdonald s that is whi there is massiv despair all over thi countri peopl have work their entir live they re make a half two-third what they use to make their kid are have a hard time find ani work at all and that s whi thi studi which show that if you can believ it today for white work class peopl between 45 and 54 life expect is actual go down suicid alcohol drug that s whi we need to start pay attent to the need of work famili in thi countri and not just a hand of billionair who have enorm econom and polit power","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"102","Sanders","the answer is ye We ve got 11 million undocu peopl in thi countri I have talk to some of the young kid with tear roll down their cheek are scare to death that today they may or their parent may be deport I believ that we have got to pass comprehens immigr reform someth that I strongli support I believ that we have got to move toward a path toward citizenship I agre with presid obama who use execut order to protect famili becaus the congress the hous wa unabl or refus to act and in fact I would go further what would motiv me and what would be the guid light for me in term of immigr reform judi is to bring famili togeth not divid them up and let me say thi also somebodi who is veri fond of the presid agre with him most of the time I disagre with hi recent deport polici and I would not support those bottom line is a path toward citizenship for 11 million undocu peopl if congress doesn t do the right thing we use the execut order of the presid","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"104","Clinton","I strongli support the presid s execut action I hope the suprem court uphold them I think there is constitut and legal author for the presid to have done what he did I am against the raid I m against the kind of inhuman treatment that is now be visit upon famili wake them up in the middl of the night round them up We should be deport crimin not hardwork immigr famili who do the veri best they can and often are keep economi go in mani place in our countri I m a strong support of comprehens immigr reform have been ever sinc I wa in the senat I wa one of the origin sponsor of the dream act I vote for comprehens immigr reform in 2007 senat sander vote against it at that time becaus I think we have to get to comprehens immigr reform with a path to citizenship and as presid I would expand enorm energi liter call everi member of congress that I thought I could persuad hope after the 2016 elect some of the republican will come to their sens and realiz we are not go to deport 11 or 12 million peopl in thi countri and they will work with me to get comprehens immigr","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"106","Sanders","secretari clinton I do have a disagr here If my memori is correct I think when we saw children come from these horrend horrend violent area of hondura and neighbor countri peopl who are flee drug violenc and cartel violenc I thought it wa a good idea to allow those children to stay in thi countri that wa not as I understand it the secretari s posit In term of 2007 immigr reform yeah I did vote against it I vote against it becaus the southern poverti law center among other group said that the guest-work program that were embed in thi agreement were akin to slaveri akin to slaveri where peopl came into thi countri to do guest work were abus were exploit and if they stood up for their right they d be thrown out of thi countri So it wasn t just me who oppos it It wa lulac one of the larg latino organ in thi countri It wa the afl-cio It wa some of the most progress member of the unit state congress who oppos it for that reason but we are where we are right now and where we are right now is we have got to stand up to the trump of the world who are tri to divid us up what we have to do right now is bring our peopl togeth and understand that we must provid a path toward citizenship for 11 million undocu peopl","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"107","Clinton","two quick respons one with respect to the central american children I made it veri clear that those children need to be process appropri but we also had to send a messag to famili and commun in central america not to send their children on thi danger journey in the hand of smuggler I ve also call for the end of famili detent for the end of privately-run detent center along with privat prison which I think are realli against the common good and the rule of law and with respect to the 2007 bill thi wa ted kennedi s bill and I think ted kennedi had a veri clear idea about what need to be done and I wa proud to stand with him and support it","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"110","Sanders","well let me just respond I work with ted kennedi He wa the chairman of my committe and I love ted kennedi but on thi issu when you have one of the larg latino organ in america say vote no and you have the afl-cio say vote no and you have lead progress democrat in fact vote no I don t apolog for that vote but in term of the children I don t know to whom you re send a messag who are you send a messag to these are children who are leav countri and neighborhood where their live are at stake that wa the fact I don t think we use them to send a messag I think we welcom them into thi countri and do the best we can to help them get their live togeth","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"112","Clinton","well that just wasn t -- that just wasn t the fact senat the fact is that there wa a great effort made by the obama administr and other to realli send a clear messag becaus we knew that so mani of these children were be abus be treat terribl while they tri to get to our border So we have a disagr on thi I think now what I ve call for is counsel for everi child so that no child ha to face ani kind of process without someon who speak and advoc for that child so that the right decis hope can be made","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"115","Sanders","OK you know you judg a nation not by the number of millionair and billionair it ha but by how you treat we treat the most vulner and fragil peopl in our nation and by those standard we re not do particularli well We have the highest rate of childhood poverti among almost ani major countri on earth and in term of senior there are million of senior -- and I ve talk to them in my state of vermont and all over thi countri -- who are tri to get by on 11 000 12 000 13 000 a year social secur and you know what you do the arithmet you can t get by on 11 000 12 000 13 000 a year and here s an area where secretari clinton and I believ we have a differ I have long support the proposit that we should lift the cap on taxabl incom come into the social secur trust fund start at 250 000","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"117","Sanders","and when we -- and when we do that we don t do what the republican want which is to cut social secur We do what the american peopl want to expand social secur by 1 300 a year for peopl under 16 000 and we extend the life of social secur for 58 year ye the wealthiest peopl the top 1 5 percent will pay more in tax but a great nation like our should not be in a posit where elderli peopl are cut their pill in half where they don t have decent nutrit where they can t heat their home in the wintertim that is not what america should be about If elect presid I will do everyth I can to expand social secur benefit not just for senior but for disabl veteran as well","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"119","Clinton","I think -- I think it s fair to say we don t have a disagr We both believ there ha to be more money go into the social secur system I ve said I m look at a coupl of differ way one which you mention senat but also tri to expand the exist tax to passiv incom that wealthi peopl have so that we do get more revenu into the social secur trust fund I have a slightli differ approach though about what we should do with that initi first rather than expand benefit for everyon I do want to take care of low-incom senior who work at low-wag job I want to take care of women when the social secur program wa start in the 1930 not veri mani women work and women have been disadvantag ever sinc they do not get ani credit for their care-tak respons and the peopl who are often the most hard-hit are widow becaus when their spous die they can lose up to one-half of their social secur monthli payment So we have no disagr about the need to buttress social secur get more revenu into the program but I want to start by help those peopl who are most at risk the one who ye are cut their pill in half who don t believ they can make the rent who are worri about what come next for them","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"120","Sanders","In all due","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"122","Sanders","In all due respect secretari clinton a lot of the progress group the onlin group have realli ask you a simpl question are you come onboard a propos and what is that propos now the propos that I have outlin you know should be familiar to you becaus it is what essenti barack obama campaign on in 2008 you oppos him then I would hope that you would come onboard and say that thi is the simpl and straightforward thing to do We re ask the top 1 5 percent includ passiv incom to start pay a littl bit more so that the elderli and disabl vet in thi countri can live with secur and digniti I hope you will make a decis soon on thi","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"123","Clinton","well senat look I think we re in vigor agreement here We both want to get more revenu in I have yet to see a propos that you re describ that the -- rais the cap would appli to passiv incom that ha not been","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"124","Sanders","that s my bill check it out","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"125","Clinton","well that ha not been a part of most of the propos that I ve seen I m interest in make sure we get the maximum amount of revenu from those who can well afford to provid it So I m go to come up with the best way forward We re go to end up in the same place We re go to get more revenu I m go to priorit those recipi who need the most help first","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
